127.0.0.1, 2018-05-12 23:22:03, GET, /admin/default/peek/hw3/models/db.py, HTTP/1.1, 200, 0.037067
127.0.0.1, 2018-05-12 23:22:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000316
127.0.0.1, 2018-05-12 23:22:14, GET, /admin/default/design/hw3, HTTP/1.1, 200, 0.131483
127.0.0.1, 2018-05-12 23:22:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000505
127.0.0.1, 2018-05-12 23:22:37, GET, /admin/default/peek/hw3/controllers/default.py, HTTP/1.1, 200, 0.028306
127.0.0.1, 2018-05-12 23:22:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000306
127.0.0.1, 2018-05-13 10:30:52, GET, /, HTTP/1.1, 303, 0.008976
127.0.0.1, 2018-05-13 10:30:53, GET, /welcome/default/index, HTTP/1.1, 200, 1.038661
127.0.0.1, 2018-05-13 10:30:58, GET, /admin/default/site, HTTP/1.1, 303, 0.738012
127.0.0.1, 2018-05-13 10:30:58, GET, /admin/default/index, HTTP/1.1, 200, 0.149289
127.0.0.1, 2018-05-13 10:30:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000479
127.0.0.1, 2018-05-13 10:31:01, POST, /admin/default/index, HTTP/1.1, 303, 0.028711
127.0.0.1, 2018-05-13 10:31:01, GET, /admin/default/site, HTTP/1.1, 200, 0.081890
127.0.0.1, 2018-05-13 10:31:05, POST, /admin/default/enable/hw3, HTTP/1.1, 500, 0.324160
127.0.0.1, 2018-05-13 10:31:31, GET, /admin/default/site, HTTP/1.1, 200, 0.078843
127.0.0.1, 2018-05-13 10:31:31, POST, /admin/default/check_version, HTTP/1.1, 200, 30.210647
127.0.0.1, 2018-05-13 10:31:33, POST, /admin/default/enable/hw3, HTTP/1.1, 200, 0.025469
127.0.0.1, 2018-05-13 10:31:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000459
127.0.0.1, 2018-05-13 10:31:37, GET, /admin/default/uninstall/hw3, HTTP/1.1, 200, 0.424031
127.0.0.1, 2018-05-13 10:31:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000489
127.0.0.1, 2018-05-13 10:31:41, POST, /admin/default/uninstall/hw3, HTTP/1.1, 303, 1.138132
127.0.0.1, 2018-05-13 10:31:41, GET, /admin/default/site, HTTP/1.1, 200, 0.054774
127.0.0.1, 2018-05-13 10:31:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000466
127.0.0.1, 2018-05-13 10:32:25, POST, /admin/default/site, HTTP/1.1, 303, 0.163815
127.0.0.1, 2018-05-13 10:32:26, GET, /admin/default/design/hw3, HTTP/1.1, 200, 0.701318
127.0.0.1, 2018-05-13 10:32:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000570
127.0.0.1, 2018-05-13 10:32:54, POST, /admin/default/create_file, HTTP/1.1, 303, 0.059464
127.0.0.1, 2018-05-13 10:32:55, GET, /admin/default/design/hw3, HTTP/1.1, 200, 0.170586
127.0.0.1, 2018-05-13 10:32:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000310
127.0.0.1, 2018-05-13 10:33:11, POST, /admin/default/create_file, HTTP/1.1, 303, 0.025328
127.0.0.1, 2018-05-13 10:33:11, GET, /admin/default/design/hw3, HTTP/1.1, 200, 0.202006
127.0.0.1, 2018-05-13 10:33:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000481
127.0.0.1, 2018-05-13 10:55:00, GET, /admin/default/site, HTTP/1.1, 200, 0.048459
127.0.0.1, 2018-05-13 10:55:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000426
127.0.0.1, 2018-05-13 10:55:02, GET, /sos/default/index, HTTP/1.1, 500, 0.271319
127.0.0.1, 2018-05-13 10:55:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000494
127.0.0.1, 2018-05-13 10:55:06, GET, /admin/default/ticket/sos/127.0.0.1.2018-05-13.10-55-01.c57c8cf6-8494-46e8-89e0-628eba0e77cd, HTTP/1.1, 200, 0.149509
127.0.0.1, 2018-05-13 10:55:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000840
127.0.0.1, 2018-05-13 10:55:13, GET, /admin/default/site, HTTP/1.1, 200, 0.041237
127.0.0.1, 2018-05-13 10:55:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000319
127.0.0.1, 2018-05-13 10:55:21, GET, /admin/default/reload_routes, HTTP/1.1, 303, 0.036248
127.0.0.1, 2018-05-13 10:55:21, GET, /admin/default/site, HTTP/1.1, 200, 0.039278
127.0.0.1, 2018-05-13 10:55:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000387
127.0.0.1, 2018-05-13 10:55:24, GET, /sos/default/index, HTTP/1.1, 500, 0.060192
127.0.0.1, 2018-05-13 10:55:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000299
127.0.0.1, 2018-05-13 10:55:26, GET, /admin/default/site, HTTP/1.1, 200, 0.041469
127.0.0.1, 2018-05-13 10:55:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000358
127.0.0.1, 2018-05-13 10:55:28, GET, /hw3/default/index, HTTP/1.1, 200, 0.064320
